Patient,top5_1,position1,top5_2,position2,top5_3,position3
90,hayir,,evet,1,evet,1
91,hayir,,hayir,,evet,2
92,evet,1,evet,2,evet,1
93,hayir,,hayir,,evet,2
94,hayir,,hayir,,evet,4
95,evet,2,evet,1,evet,1
96,hayir,,evet,4,evet,2
97,evet,1,evet,1,evet,1
98,hayir,,evet,5,evet,1
99,hayir,,evet,3,evet,1
100,evet,1,evet,1,evet,1
101,evet,1,evet,1,evet,1
102,hayir,,hayir,,evet,4
103,hayir,,evet,1,evet,1
104,hayir,,evet,3,evet,3
105,evet,1,evet,1,evet,1
106,hayir,,hayir,,evet,5
107,hayir,,hayir,,evet,1
108,evet,2,evet,1,evet,1
109,hayir,,hayir,,evet,1
110,evet,1,evet,1,evet,1
111,hayir,,hayir,,evet,1
112,evet,1,evet,1,evet,1
113,evet,1,evet,1,evet,1
114,evet,1,evet,1,evet,1
115,evet,3,hayir,3,evet,1
116,evet,1,evet,1,evet,1
117,evet,1,evet,1,evet,1
118,evet,3,evet,2,evet,2
119,evet,1,evet,1,evet,1
120,evet,1,evet,1,evet,1
121,evet,1,evet,1,evet,1
122,evet,1,evet,1,evet,1
123,evet,1,evet,1,evet,1
124,evet,1,evet,1,evet,1
125,evet,1,evet,1,evet,1
126,evet,1,evet,1,evet,1
127,evet,1,evet,1,evet,1
128,evet,2,evet,1,evet,1
129,evet,3,evet,3,evet,2
130,evet,1,evet,1,evet,1
131,evet,3,evet,2,evet,1
132,evet,1,evet,1,evet,1
133,evet,2,evet,2,evet,2
134,evet,1,evet,1,evet,1
135,evet,1,evet,1,evet,1
136,evet,3,evet,3,evet,1
137,evet,2,evet,3,evet,2
138,evet,4,evet,4,evet,1
139,evet,4,evet,1,evet,1
140,evet,2,evet,2,evet,1
141,evet,1,evet,1,evet,1
142,evet,4,evet,5,evet,2
143,evet,1,evet,1,evet,1
144,evet,1,evet,1,evet,3
145,evet,1,evet,1,evet,1
146,evet,1,evet,1,evet,1
147,evet,1,evet,1,evet,1
148,evet,4,evet,2,evet,2
149,evet,1,evet,1,evet,1
150,evet,5,evet,2,evet,1
151,evet,1,evet,1,evet,1
152,hayir,,evet,1,evet,1
153,evet,5,evet,1,evet,1
154,hayir,,hayir,,evet,1
155,evet,1,evet,1,evet,1
156,evet,1,evet,1,evet,1
157,evet,1,evet,1,evet,1
158,evet,1,evet,5,evet,1
159,hayir,,evet,2,evet,1
160,hayir,,evet,3,evet,3
161,hayir,,hayir,,evet,2
162,hayir,,hayir,,evet,3
163,hayir,,evet,1,evet,1
164,hayir,,hayir,,hayir,
165,evet,5,hayir,5,evet,5
166,evet,1,evet,1,evet,1
167,hayir,,hayir,,evet,5
168,evet,4,evet,2,evet,3
169,hayir,,evet,5,evet,1
170,evet,1,evet,3,evet,1
171,hayir,,evet,1,evet,1
172,hayir,,hayir,,evet,3
173,hayir,,hayir,,evet,3
174,hayir,,evet,5,evet,5
175,evet,2,evet,3,evet,2
176,hayir,,hayir,,evet,4
177,hayir,,evet,4,evet,3
